Gene,MeanTumor,MeanNormal,LogFC,PValue,Padj,AbsLogFC,ENSEMBL_clean,SYMBOL
ENSG00000275688,1.99540699599281,1.59427761377907,0.401129382213736,0.033226712985796,0.0605462622956656,0.401129382213736,ENSG00000275688,
ENSG00000196420,0.745595736535206,0.435109105442739,0.310486631092466,0.0332264532737466,0.0605462622956656,0.310486631092466,ENSG00000196420,S100A5
ENSG00000260459,5.16809634252536,4.85814248506078,0.309953857464579,0.0332345876870498,0.0605571114872133,0.309953857464579,ENSG00000260459,
ENSG00000274748,0.0396123385322588,0,0.0396123385322588,0.0332348325999439,0.0605571114872133,0.0396123385322588,ENSG00000274748,
ENSG00000257743,3.01048518777057,2.30735308258008,0.703132105190494,0.0332412237165814,0.0605663657580449,0.703132105190494,ENSG00000257743,MGAM2
ENSG00000225057,1.20266761550243,0.861532319831476,0.341135295670952,0.0332420776118821,0.0605663657580449,0.341135295670952,ENSG00000225057,
ENSG00000251692,0.689261038464643,0.433426428612638,0.255834609852006,0.0332587514849475,0.0605947709826427,0.255834609852006,ENSG00000251692,PTX4
ENSG00000275160,2.84161722717126,2.4493552207456,0.392262006425657,0.0332670075473316,0.060607838281866,0.392262006425657,ENSG00000275160,RPL7AP45
ENSG00000229859,0.12112251190896,0.356910088466562,-0.235787576557602,0.0332799530165761,0.0606294478952623,0.235787576557602,ENSG00000229859,PGA3
ENSG00000224061,0.366930768820198,0.18814178573489,0.178788983085308,0.0332898504586141,0.0606455033829566,0.178788983085308,ENSG00000224061,
ENSG00000250980,0.327651826961908,0.159570357163462,0.168081469798447,0.0333099449350221,0.060680133580569,0.168081469798447,ENSG00000250980,
ENSG00000235984,0.119054229732977,0.0285714285714286,0.0904828011615484,0.0333323759616712,0.0607190178353879,0.0904828011615484,ENSG00000235984,GPC5-AS1
ENSG00000255340,0.208283196900391,0.0857142857142857,0.122568911186105,0.0333468475336968,0.0607434009048662,0.122568911186105,ENSG00000255340,
ENSG00000206168,0.806193494903534,0.552567142939561,0.253626351963974,0.0333656115462302,0.0607756010842736,0.253626351963974,ENSG00000206168,
ENSG00000261654,3.35255429069572,2.96851834089327,0.384035949802449,0.033380120654843,0.0608000490932229,0.384035949802449,ENSG00000261654,
ENSG00000258841,0.768332414910908,0.507282500061813,0.261049914849095,0.0334049631819271,0.0608433166485271,0.261049914849095,ENSG00000258841,EEF1A1P2
ENSG00000180264,0.47416729337716,0.261997857184066,0.212169436193094,0.0334146901912468,0.0608590510967595,0.212169436193094,ENSG00000180264,ADGRD2
ENSG00000164649,7.0064469400395,6.59107774003326,0.415369200006233,0.0334475687096958,0.0609169495972515,0.415369200006233,ENSG00000164649,CDCA7L
ENSG00000271428,0.251966935019167,0.114285714285714,0.137681220733453,0.0334533155995415,0.0609254319988784,0.137681220733453,ENSG00000271428,
ENSG00000233355,2.52576209085831,2.01641082072735,0.509351270130963,0.0334571969541076,0.0609292948059204,0.509351270130963,ENSG00000233355,CHRM3-AS2
ENSG00000204253,7.99495361682504,7.69926353473726,0.295690082087783,0.0334576156950789,0.0609292948059204,0.295690082087783,ENSG00000204253,
ENSG00000147592,9.97606013883771,9.73694170451513,0.239118434322581,0.0334615462837542,0.0609344684385719,0.239118434322581,ENSG00000147592,LACTB2
ENSG00000199536,0.250728750038831,0.114285714285714,0.136443035753117,0.0334729193897131,0.0609531943377251,0.136443035753117,ENSG00000199536,RNU6-315P
ENSG00000213900,0.424648706244356,0.18814178573489,0.236506920509466,0.033487772828562,0.0609782563940882,0.236506920509466,ENSG00000213900,RPS17P1
ENSG00000219023,2.40148203924391,2.00343792406679,0.39804411517712,0.033503938192502,0.0610057056395251,0.39804411517712,ENSG00000219023,RPS15AP19
ENSG00000273933,0.909414055888928,0.573623302772881,0.335790753116047,0.0335093042719319,0.0610134898412716,0.335790753116047,ENSG00000273933,
ENSG00000235051,0.371964319947494,0.18814178573489,0.183822534212603,0.0335185315648771,0.061028303775837,0.183822534212603,ENSG00000235051,
ENSG00000177452,0.547594160185572,0.342857142857143,0.204737017328429,0.0335207194956331,0.0610303003625197,0.204737017328429,ENSG00000177452,RPL19P3
ENSG00000207523,1.95022253356879,1.56200463611849,0.388217897450308,0.0335263388529863,0.0610385441247785,0.388217897450308,ENSG00000207523,SNORA66
ENSG00000244122,2.51048571099471,2.03307109694713,0.477414614047583,0.0335552302537436,0.0610891553944021,0.477414614047583,ENSG00000244122,UGT1A7
ENSG00000260293,5.69616076664411,5.30621216021742,0.389948606426689,0.0335570148371004,0.0610904155127394,0.389948606426689,ENSG00000260293,
ENSG00000220586,1.95870859773194,1.48585794205846,0.472850655673478,0.0335606802743389,0.0610950995247755,0.472850655673478,ENSG00000220586,TUBBP9
ENSG00000242598,0.466839661509297,0.93989845325613,-0.473058791746833,0.0335677432177234,0.0611059679759612,0.473058791746833,ENSG00000242598,
ENSG00000207497,0.781662071378322,0.459337588487167,0.322324482891155,0.0335777197143708,0.0611221393140537,0.322324482891155,ENSG00000207497,
ENSG00000231083,1.62264324736129,2.18847307494958,-0.565829827588293,0.0336223836772982,0.0611582948649759,0.565829827588293,ENSG00000231083,LOC105373411
ENSG00000163520,8.60402776279436,9.02556254450482,-0.421534781710463,0.0336269408584631,0.0611582948649759,0.421534781710463,ENSG00000163520,FBLN2
ENSG00000272721,3.06641913826783,2.70836838758908,0.358050750678753,0.0336148937291742,0.0611582948649759,0.358050750678753,ENSG00000272721,
ENSG00000257083,0.0484037019258506,0.233426428612637,-0.185022726686787,0.0336043144270449,0.0611582948649759,0.185022726686787,ENSG00000257083,
ENSG00000200350,0.163725648820694,0.0571428571428571,0.106582791677837,0.0336046931577437,0.0611582948649759,0.106582791677837,ENSG00000200350,RNU6-1285P
ENSG00000184991,0.0230769230769231,0,0.0230769230769231,0.0336336719051083,0.0611582948649759,0.0230769230769231,ENSG00000184991,TTTY13
ENSG00000188120,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000188120,DAZ1
ENSG00000200942,0.0230769230769231,0,0.0230769230769231,0.0336336719051079,0.0611582948649759,0.0230769230769231,ENSG00000200942,RNU6-501P
ENSG00000202029,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000202029,RNU6-580P
ENSG00000207080,0.0230769230769231,0,0.0230769230769231,0.0336336719051082,0.0611582948649759,0.0230769230769231,ENSG00000207080,
ENSG00000207274,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000207274,SNORA70I
ENSG00000207394,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000207394,RNU6-1060P
ENSG00000207415,0.0230769230769231,0,0.0230769230769231,0.0336336719051079,0.0611582948649759,0.0230769230769231,ENSG00000207415,RNU6-1151P
ENSG00000211912,0.0230769230769231,0,0.0230769230769231,0.033633671905108,0.0611582948649759,0.0230769230769231,ENSG00000211912,IGHD2-21
ENSG00000221245,0.0230769230769231,0,0.0230769230769231,0.0336336719051083,0.0611582948649759,0.0230769230769231,ENSG00000221245,LOC124900187
ENSG00000230690,0.0230769230769231,0,0.0230769230769231,0.033633671905108,0.0611582948649759,0.0230769230769231,ENSG00000230690,
ENSG00000233299,0.0230769230769231,0,0.0230769230769231,0.0336336719051081,0.0611582948649759,0.0230769230769231,ENSG00000233299,
